SlideNumber	Filename	Cy3	Cy5
1	US22502634_252162310077_S01_GE2-v5_95_Feb07_1_1.txt	KK	KLa
2	US22502634_252162310077_S01_GE2-v5_95_Feb07_1_2.txt	KLa	KK
3	US22502634_252162310077_S01_GE2-v5_95_Feb07_1_3.txt	KK	KLa
4	US22502634_252162310077_S01_GE2-v5_95_Feb07_1_4.txt	KLa	KK
5	US22502634_252162310080_S01_GE2-v5_95_Feb07_1_1.txt	KLa	HLa
6	US22502634_252162310080_S01_GE2-v5_95_Feb07_1_2.txt	HLa	KLa
7	US22502634_252162310080_S01_GE2-v5_95_Feb07_1_3.txt	KLa	HLa
8	US22502634_252162310080_S01_GE2-v5_95_Feb07_1_4.txt	HLa	KLa
9	US22502634_252162310083_S01_GE2-v5_95_Feb07_1_1.txt	HK	HLa
10	US22502634_252162310083_S01_GE2-v5_95_Feb07_1_2.txt	HLa	HK
11	US22502634_252162310083_S01_GE2-v5_95_Feb07_1_3.txt	HK	HLa
12	US22502634_252162310083_S01_GE2-v5_95_Feb07_1_4.txt	HLa	HK
13	US22502634_252162310107_S01_GE2-v5_95_Feb07_1_1.txt	KK	HK
14	US22502634_252162310107_S01_GE2-v5_95_Feb07_1_2.txt	HK	KK
15	US22502634_252162310107_S01_GE2-v5_95_Feb07_1_3.txt	KK	HK
16	US22502634_252162310107_S01_GE2-v5_95_Feb07_1_4.txt	HK	KK
